Year,Month,Retail Census
1992,1,117814
1993,1,124089
1994,1,128826
1995,1,139434
1996,1,142871
1997,1,152533
1998,1,159868
1999,1,169939
2000,1,181007
2001,1,190977
2002,1,196713
2003,1,202502
2004,1,215095
2005,1,228238
2006,1,246276
2007,1,253973
2008,1,258979
2009,1,252321
2010,1,251911
2011,1,263780
2012,1,278028
2013,1,288706
2014,1,293513
2015,1,312509
2016,1,322652
2017,1,337223
2018,1,352504
2019,1,366677
1992,2,117795
1993,2,123425
1994,2,130514
1995,2,137534
1996,2,144263
1997,2,153837
1998,2,160789
1999,2,171951
2000,2,182721
2001,2,190970
2002,2,197818
2003,2,200747
2004,2,215044
2005,2,230238
2006,2,246424
2007,2,253233
2008,2,257123
2009,2,251528
2010,2,253981
2011,2,265442
2012,2,280468
2013,2,289521
2014,2,296561
2015,2,311658
2016,2,326047
2017,2,336805
2018,2,354147
2019,2,362843
1992,3,117746
1993,3,122864
1994,3,133193
1995,3,138645
1996,3,145592
1997,3,154959
1998,3,161245
1999,3,172497
2000,3,185940
2001,3,190127
2002,3,197879
2003,3,203729
2004,3,219096
2005,3,229936
2006,3,246861
2007,3,255687
2008,3,257927
2009,3,247822
2010,3,256495
2011,3,267147
2012,3,281581
2013,3,288912
2014,3,298879
2015,3,313961
2016,3,325244
2017,3,338317
2018,3,353751
2019,3,367226
1992,4,118223
1993,4,124689
1994,4,132700
1995,4,138955
1996,4,146893
1997,4,154141
1998,4,162724
1999,4,173212
2000,4,185327
2001,4,192257
2002,4,199726
2003,4,203439
2004,4,218034
2005,4,232925
2006,4,246879
2007,4,253632
2008,4,259587
2009,4,249048
2010,4,258265
2011,4,269293
2012,4,280131
2013,4,288064
2014,4,301771
2015,4,314870
2016,4,325963
2017,4,340552
2018,4,355277
2019,4,368905
1992,5,118385
1993,5,125899
1994,5,133058
1995,5,140053
1996,5,147611
1997,5,154371
1998,5,163136
1999,5,174338
2000,5,185371
2001,5,191829
2002,5,198959
2003,5,204940
2004,5,219132
2005,5,232157
2006,5,246464
2007,5,255752
2008,5,262549
2009,5,249679
2010,5,255861
2011,5,269127
2012,5,279983
2013,5,289470
2014,5,302686
2015,5,316130
2016,5,326385
2017,5,339438
2018,5,360044
2019,5,371168
1992,6,118410
1993,6,125804
1994,6,134530
1995,6,140515
1996,6,147918
1997,6,155613
1998,6,163774
1999,6,174927
2000,6,185899
2001,6,191763
2002,6,199285
2003,6,207524
2004,6,218917
2005,6,234470
2006,6,246282
2007,6,256050
2008,6,262747
2009,6,249897
2010,6,256840
2011,6,271845
2012,6,279748
2013,6,288991
2014,6,304640
2015,6,316348
2016,6,329550
2017,6,341287
2018,6,359894
2019,6,373473
1992,7,119092
1993,7,126951
1994,7,134944
1995,7,140839
1996,7,148253
1997,7,157052
1998,7,165004
1999,7,175243
2000,7,186520
2001,7,192751
2002,7,199003
2003,7,209502
2004,7,220566
2005,7,233995
2006,7,246079
2007,7,257719
2008,7,263828
2009,7,249703
2010,7,256338
2011,7,271649
2012,7,280970
2013,7,291329
2014,7,305049
2015,7,319143
2016,7,328205
2017,7,341968
2018,7,362076
2019,7,376481
1992,8,120123
1993,8,126831
1994,8,136246
1995,8,141546
1996,8,148820
1997,8,157139
1998,8,165531
1999,8,176382
2000,8,187033
2001,8,194185
2002,8,199264
2003,8,211817
2004,8,221060
2005,8,236121
2006,8,247808
2007,8,257586
2008,8,261654
2009,8,249747
2010,8,258007
2011,8,272995
2012,8,281859
2013,8,291253
2014,8,307697
2015,8,319787
2016,8,329244
2017,8,343552
2018,8,361900
2019,8,377827
1992,9,120264
1993,9,128154
1994,9,136802
1995,9,142624
1996,9,149984
1997,9,158221
1998,9,165542
1999,9,177828
2000,9,189371
2001,9,190819
2002,9,199072
2003,9,211535
2004,9,222679
2005,9,237213
2006,9,249447
2007,9,257483
2008,9,258403
2009,9,250173
2010,9,258844
2011,9,273759
2012,9,283125
2013,9,292473
2014,9,308030
2015,9,320037
2016,9,330175
2017,9,346729
2018,9,361363
2019,9,377554
1992,10,121349
1993,10,128272
1994,10,137821
1995,10,141898
1996,10,151250
1997,10,158269
1998,10,167307
1999,10,178667
2000,10,189307
2001,10,194052
2002,10,200364
2003,10,212278
2004,10,224226
2005,10,240333
2006,10,250103
2007,10,258365
2008,10,255767
2009,10,250300
2010,10,260198
2011,10,275263
2012,10,282906
2013,10,293562
2014,10,309975
2015,10,319765
2016,10,330615
2017,10,347095
2018,10,364311
2019,10,377907
1992,11,121717
1993,11,128916
1994,11,137650
1995,11,143820
1996,11,151651
1997,11,158488
1998,11,168460
1999,11,179704
2000,11,189478
2001,11,195453
2002,11,201544
2003,11,213317
2004,11,225080
2005,11,240929
2006,11,249880
2007,11,260954
2008,11,252590
2009,11,250447
2010,11,262575
2011,11,275674
2012,11,284995
2013,11,294713
2014,11,311197
2015,11,321217
2016,11,330912
2017,11,350468
2018,11,364837
1992,12,123358
1993,12,129976
1994,12,138876
1995,12,144990
1996,12,152397
1997,12,158882
1998,12,169658
1999,12,183859
2000,12,190143
2001,12,196535
2002,12,201689
2003,12,213310
2004,12,227441
2005,12,240919
2006,12,253397
2007,12,259360
2008,12,249969
2009,12,251811
2010,12,262726
2011,12,274980
2012,12,286147
2013,12,295755
2014,12,312311
2015,12,323597
2016,12,331731
2017,12,352007
2018,12,356686
